1000 10000
16 722 56
737 627 84
936 411 10
715 871 24
445 896 19
958 776 70
252 373 34
826 129 8
36 807 53
613 994 71
357 363 94
712 100 21
395 388 84
704 103 7
879 548 3
449 858 31
818 462 4
503 289 33
110 677 93
315 642 87
285 999 50
978 63 3
651 458 91
734 514 47
41 745 47
595 194 6
926 365 20
981 868 61
166 331 38
158 646 33
144 283 84
846 614 48
648 265 6
838 351 73
836 744 70
383 692 65
140 970 30
359 951 50
220 117 81
109 275 79
641 772 63
525 618 77
472 266 94
229 456 45
853 293 42
223 28 34
787 168 4
68 527 7
217 747 25
50 209 52
880 850 24
642 727 94
370 199 60
363 781 69
60 986 14
501 209 42
986 348 10
441 416 89
847 986 89
723 388 98
875 268 100
150 911 28
44 633 79
555 997 60
875 409 47
488 910 8
481 248 57
290 689 25
331 536 11
119 612 51
116 487 20
315 637 83
594 33 16
73 589 13
684 816 22
282 305 84
90 786 84
598 429 73
522 760 62
785 231 26
435 347 13
354 14 2
888 961 36
704 34 77
868 70 45
442 353 50
277 795 89
361 393 70
485 267 82
498 404 13
123 840 12
235 546 78
689 435 39
176 491 25
604 359 96
848 801 49
750 79 96
790 792 89
259 277 8
192 128 13
356 251 5
219 839 3
96 528 90
287 56 81
511 660 93
158 860 46
806 610 77
601 400 69
141 11 99
949 555 27
513 911 78
917 482 17
571 579 97
661 218 5
593 81 65
885 240 78
331 398 40
207 352 93
876 493 4
526 794 12
952 659 75
629 928 58
498 500 89
246 161 7
51 754 88
867 992 80
896 323 79
536 882 31
928 110 76
683 636 71
994 588 82
569 570 11
626 420 11
614 666 24
172 69 30
811 289 22
691 185 97
969 721 80
599 649 90
74 685 79
696 679 67
978 600 89
188 578 9
250 192 28
473 716 49
154 528 38
476 219 76
472 540 97
703 139 99
45 565 36
23 614 15
941 592 16
430 132 94
690 382 39
617 207 7
966 361 35
603 189 6
130 662 46
379 717 37
277 762 3
564 785 17
178 727 61
745 509 93
891 199 27
229 169 86
987 135 99
922 90 89
427 221 3
825 600 20
361 229 35
815 793 20
531 323 99
543 69 60
687 960 60
213 541 81
650 528 16
801 802 58
789 582 79
143 407 31
214 120 60
48 936 5
20 819 29
70 363 50
630 50 62
741 616 55
21 618 83
788 419 38
645 560 20
76 703 79
106 270 99
718 670 87
122 690 7
202 113 70
703 743 20
164 836 88
518 857 7
753 645 26
790 642 87
761 718 42
139 825 12
989 543 83
776 17 25
734 572 38
703 275 33
74 792 69
62 310 26
20 63 23
45 205 66
983 966 84
625 457 61
888 799 56
822 927 74
799 661 98
536 716 73
721 790 65
389 204 28
267 576 91
141 622 49
658 957 15
542 934 25
954 823 24
910 997 3
235 796 64
132 685 32
656 406 22
973 147 79
600 414 7
642 556 81
890 214 39
457 108 73
481 63 48
656 325 46
758 560 42
873 692 79
704 348 85
677 321 33
207 273 99
314 916 7
394 806 22
784 615 82
757 448 97
904 104 22
401 214 34
695 87 26
673 143 27
58 173 100
942 380 74
240 46 42
447 441 100
220 225 16
453 334 64
750 591 21
723 992 35
257 687 75
834 713 70
112 123 43
64 65 24
289 657 70
430 456 63
729 676 41
644 482 75
8 584 66
828 307 11
214 916 50
688 103 63
658 567 86
800 631 3
675 920 61
597 350 17
959 432 46
899 76 80
174 436 64
391 616 71
953 831 40
203 871 95
517 881 62
955 34 46
457 61 18
969 658 69
938 618 1
583 869 29
62 43 18
477 787 34
199 740 17
838 295 41
284 165 74
298 472 60
943 929 22
860 899 80
480 189 50
532 124 20
13 538 15
930 15 2
815 214 95
532 53 42
824 689 59
997 987 31
557 930 13
178 143 64
809 975 53
59 508 77
530 521 15
44 803 30
698 618 44
444 150 49
837 326 39
396 324 26
778 881 9
90 411 4
653 220 79
757 631 39
633 513 12
47 558 15
476 608 34
472 52 36
520 241 63
610 989 39
688 768 20
48 210 83
551 216 3
381 973 87
720 607 100
931 6 10
946 835 18
931 307 22
418 179 16
880 142 5
18 830 25
389 230 36
171 781 52
526 162 77
864 234 84
363 166 43
125 464 78
142 395 85
916 813 16
931 46 58
935 416 40
412 806 70
747 329 3
650 855 18
526 719 52
362 435 70
204 560 34
881 54 29
217 970 95
84 253 41
742 541 57
933 953 15
355 52 45
557 702 100
626 580 72
930 942 7
399 498 67
685 731 21
365 948 44
859 33 49
751 127 90
708 60 95
822 415 47
618 325 49
270 303 30
641 233 24
799 985 75
165 670 6
937 35 55
32 247 40
381 998 19
622 706 31
817 881 47
63 851 24
364 121 27
893 114 13
68 913 50
742 430 72
148 368 7
854 752 6
945 485 5
163 108 63
793 925 96
191 340 48
266 704 69
645 949 84
257 18 97
206 112 80
177 612 48
535 818 52
141 763 38
745 278 46
759 424 23
655 967 63
402 234 68
622 879 17
957 488 87
206 46 52
885 575 64
284 110 83
435 603 98
72 700 29
169 460 53
191 115 20
906 869 6
973 491 37
341 801 25
80 7 71
931 892 46
394 176 9
28 963 64
778 36 17
806 205 77
258 749 44
29 655 65
387 980 8
623 321 9
348 401 16
470 684 60
168 79 36
328 459 100
91 237 88
907 43 45
535 653 94
278 35 1
594 422 81
402 397 55
10 745 8
626 568 93
485 736 24
873 64 83
224 507 21
963 415 16
907 950 22
953 581 57
5 175 31
38 577 28
392 588 74
499 566 94
643 403 30
866 628 46
549 204 53
821 167 20
488 75 23
809 380 4
165 385 31
295 423 61
823 167 1
448 667 67
641 662 22
922 529 51
619 430 55
471 251 75
443 91 50
365 901 82
868 418 67
250 66 43
